country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Argentina,0.093525641,158.6117409971,45.8097137063,2,18
Argentina,0.068974359,163.2622806722,44.4555029505,2,19
Argentina,0.0588461538,163.7601808352,43.1256513353,2,20
Argentina,0.0509615385,148.0731933586,41.5910362992,2,21
Argentina,0.0433974359,149.5016526153,39.9948975874,2,22
Argentina,0.0408333333,164.9691483671,43.3525614651,2,23
Argentina,0.0378205128,169.1624893054,44.2224696088,3,0
Argentina,0.0279487179,179.9697693172,46.3763429963,3,1
Argentina,0.0187820513,186.4733972934,49.5776910798,3,2
Argentina,0.0136601307,160.309363367,53.5163268478,3,3
Argentina,0.01,212.7374487854,50.4655949078,3,4
Argentina,0.0093333333,120.7999916745,37.5587397972,3,5
Argentina,0.0124183007,141.0974331037,60.3156258342,3,6
Argentina,0.0173717949,115.8769839469,39.6561219555,3,7
Argentina,0.0428205128,95.2499776851,33.7787309906,3,8
Argentina,0.0898076923,117.0302953795,48.0924801978,3,9
Argentina,0.1146794872,132.5754014612,57.471043691,3,10
Argentina,0.1251282051,142.4786042946,61.1182442741,3,11
Argentina,0.1223076923,137.4336589178,60.1825836184,3,12
Argentina,0.1196794872,120.3158685557,51.025144474,3,13
Argentina,0.1263461538,126.8313077984,58.3245909576,3,14
Argentina,0.1359615385,144.6963440434,60.6372040653,3,15
Argentina,0.1355769231,150.7523194474,63.924786557,3,16
Argentina,0.1278205128,154.195857522,57.242953274,3,17
Argentina,0.0963461538,160.3408754305,45.5419112894,3,18
Argentina,0.0717948718,147.6237381458,42.5930328538,3,19
Argentina,0.0576282051,149.8471559686,44.6297710016,3,20
Argentina,0.0492307692,138.2889503343,41.5993192022,3,21
Argentina,0.0463461538,128.2967439269,42.2185811836,3,22
Argentina,0.0442307692,162.1090391194,42.4522242028,3,23
Argentina,0.04,181.9402093937,45.5870520699,4,0
Argentina,0.0292307692,171.3733003579,50.206124547,4,1
Argentina,0.0198076923,192.3815279532,52.2009294648,4,2
Argentina,0.0138461538,188.0914705708,47.4361276993,4,3
Argentina,0.0086928105,211.1086512393,42.6745369068,4,4
Argentina,0.0088888889,146.8933852776,41.7858150656,4,5
Argentina,0.011503268,123.4720112252,61.9450378637,4,6
Argentina,0.0166666667,111.5200541418,42.3868824781,4,7
Argentina,0.0418589744,81.3463356731,34.0176789151,4,8
Argentina,0.083525641,96.6813235345,48.2601690543,4,9
Argentina,0.1063461538,129.1766045917,57.4240705341,4,10
Argentina,0.1148717949,139.0926624793,60.6348347301,4,11
Argentina,0.113525641,147.8197807272,60.5450076854,4,12
Argentina,0.1136538462,124.4073026844,51.5239803133,4,13
