Country,Day,Hour,Workers
Australia,4,21,127.8076923077
Australia,4,22,116.0192307692
Australia,4,23,91.1153846154
Australia,5,0,68.6153846154
Australia,5,1,52.6923076923
Australia,5,2,44.3269230769
Australia,5,3,37.9615384615
Australia,5,4,34.8846153846
Australia,5,5,31.3461538462
Australia,5,6,36.0961538462
Australia,5,7,48.2115384615
Australia,5,8,97.6730769231
Australia,5,9,145.0192307692
Australia,5,10,159.6538461538
Australia,5,11,163.6538461538
Australia,5,12,153.0769230769
Australia,5,13,154.7884615385
Australia,5,14,167.6730769231
Australia,5,15,180.1538461538
Australia,5,16,170.6153846154
Australia,5,17,143.2884615385
Australia,5,18,113.1346153846
Australia,5,19,103.9807692308
Australia,5,20,104.5192307692
Australia,5,21,103.8269230769
Australia,5,22,97.0961538462
Australia,5,23,77.9423076923
Australia,6,0,60.25
Australia,6,1,46.3846153846
Australia,6,2,39.4807692308
Australia,6,3,32.7307692308
Australia,6,4,29.9230769231
Australia,6,5,27.9807692308
Australia,6,6,31.1346153846
Australia,6,7,34.3653846154
Australia,6,8,39.6730769231
Australia,6,9,46.3653846154
Australia,6,10,54.6346153846
Australia,6,11,59.8269230769
Australia,6,12,54.6730769231
Australia,6,13,56.5192307692
Australia,6,14,60.3846153846
Australia,6,15,64.2115384615
Australia,6,16,68.1538461538
Australia,6,17,67.5384615385
Australia,6,18,59.5961538462
Australia,6,19,59.3653846154
Australia,6,20,61.6346153846
Australia,6,21,63.3076923077
Australia,6,22,58.4807692308
Australia,6,23,50.7884615385
Bangladesh,0,0,2041.8269230769
Bangladesh,0,1,1755.5
Bangladesh,0,2,1237.5576923077
Bangladesh,0,3,853.5961538462
Bangladesh,0,4,616.3269230769
Bangladesh,0,5,518.0384615385
Bangladesh,0,6,552.8076923077
Bangladesh,0,7,709.9038461538
Bangladesh,0,8,941.9615384615
Bangladesh,0,9,1307.4807692308
Bangladesh,0,10,1576.1730769231
Bangladesh,0,11,1757.1346153846
Bangladesh,0,12,1818.5576923077
Bangladesh,0,13,1729.9615384615
Bangladesh,0,14,1718.8653846154
Bangladesh,0,15,1792.7692307692
Bangladesh,0,16,1806.7307692308
Bangladesh,0,17,1755.9807692308
Bangladesh,0,18,1714.1923076923
Bangladesh,0,19,1809.9230769231
Bangladesh,0,20,1905.8076923077
Bangladesh,0,21,2004.9038461538
Bangladesh,0,22,2086.6923076923
Bangladesh,0,23,2118.6153846154
Bangladesh,1,0,1963.5961538462
Bangladesh,1,1,1654.9230769231
Bangladesh,1,2,1260.3846153846
Bangladesh,1,3,910.7884615385
Bangladesh,1,4,653.7884615385
Bangladesh,1,5,477.0192307692
Bangladesh,1,6,348.8461538462
Bangladesh,1,7,426.4615384615
Bangladesh,1,8,587.5384615385
Bangladesh,1,9,880.9423076923
Bangladesh,1,10,1110.4038461538
Bangladesh,1,11,1272.1730769231
Bangladesh,1,12,1370.4038461538
Bangladesh,1,13,1334.8846153846
Bangladesh,1,14,1347.3269230769
Bangladesh,1,15,1445.8653846154
Bangladesh,1,16,1480.4230769231
Bangladesh,1,17,1437.0576923077
Bangladesh,1,18,1373.6538461538
Bangladesh,1,19,1447.9230769231
Bangladesh,1,20,1541.8269230769
Bangladesh,1,21,1656.6923076923
Bangladesh,1,22,1749.0769230769
Bangladesh,1,23,1794.3653846154
Bangladesh,2,0,1657.0576923077
Bangladesh,2,1,1348.0769230769
Bangladesh,2,2,984.1153846154
Bangladesh,2,3,675.4807692308
Bangladesh,2,4,491.9230769231
Bangladesh,2,5,413.1730769231
Bangladesh,2,6,459.5
Bangladesh,2,7,623.4423076923
Bangladesh,2,8,828.5
Bangladesh,2,9,1185.0384615385
Bangladesh,2,10,1487.0384615385
Bangladesh,2,11,1668.6923076923
Bangladesh,2,12,1756.5769230769
Bangladesh,2,13,1683.0769230769
Bangladesh,2,14,1657.9807692308
Bangladesh,2,15,1737.9807692308
Bangladesh,2,16,1778.25
Bangladesh,2,17,1719.3846153846
Bangladesh,2,18,1635.5192307692
Bangladesh,2,19,1721.4807692308
Bangladesh,2,20,1819.7692307692
Bangladesh,2,21,1956.1538461538
Bangladesh,2,22,2064.3269230769
Bangladesh,2,23,2089.5769230769
Bangladesh,3,0,1922.1923076923
Bangladesh,3,1,1559.3269230769
Bangladesh,3,2,1136.5769230769
Bangladesh,3,3,797.7307692308
Bangladesh,3,4,570.1538461538
Bangladesh,3,5,466.5576923077
Bangladesh,3,6,497.0769230769
Bangladesh,3,7,671.2115384615
Bangladesh,3,8,915.0192307692
Bangladesh,3,9,1286.0769230769
Bangladesh,3,10,1591.4615384615
Bangladesh,3,11,1772.0192307692
Bangladesh,3,12,1839.2307692308
Bangladesh,3,13,1760.0961538462
Bangladesh,3,14,1726
Bangladesh,3,15,1805.0192307692
Bangladesh,3,16,1827.2884615385
Bangladesh,3,17,1745.5769230769
Bangladesh,3,18,1715.0769230769
Bangladesh,3,19,1798.1346153846
Bangladesh,3,20,1908.9038461538
Bangladesh,3,21,2026.9615384615
Bangladesh,3,22,2143.7692307692
Bangladesh,3,23,2172.2692307692
Bangladesh,4,0,2024.6730769231
Bangladesh,4,1,1694.4807692308
Bangladesh,4,2,1254.8846153846
Bangladesh,4,3,854.9038461538
Bangladesh,4,4,611.9615384615
Bangladesh,4,5,505.5192307692
Bangladesh,4,6,540.4423076923
Bangladesh,4,7,680.1153846154
Bangladesh,4,8,923.4230769231
Bangladesh,4,9,1355.3076923077
Bangladesh,4,10,1687.2884615385
Bangladesh,4,11,1875.7115384615
Bangladesh,4,12,1963.6153846154
Bangladesh,4,13,1868.0769230769
Bangladesh,4,14,1824.8461538462
Bangladesh,4,15,1898.0576923077
Bangladesh,4,16,1916.9230769231
Bangladesh,4,17,1842.6153846154
Bangladesh,4,18,1762.4038461538
Bangladesh,4,19,1841.5384615385
Bangladesh,4,20,1955.5384615385
Bangladesh,4,21,2072.4615384615
Bangladesh,4,22,2173.5769230769
Bangladesh,4,23,2209.1730769231
Bangladesh,5,0,2094.0769230769
Bangladesh,5,1,1774.9230769231
Bangladesh,5,2,1343.5192307692
Bangladesh,5,3,926.7884615385
Bangladesh,5,4,663.6346153846
Bangladesh,5,5,531.0384615385
Bangladesh,5,6,547.6153846154
Bangladesh,5,7,707.0961538462
Bangladesh,5,8,970.6346153846
Bangladesh,5,9,1378.7884615385
Bangladesh,5,10,1751.75
Bangladesh,5,11,1966.8846153846
Bangladesh,5,12,1873.8461538462
Bangladesh,5,13,1385.25
Bangladesh,5,14,1788.6153846154
Bangladesh,5,15,1983.0769230769
Bangladesh,5,16,1945.3269230769
Bangladesh,5,17,1825.5576923077
Bangladesh,5,18,1771.4038461538
Bangladesh,5,19,1864.6923076923
Bangladesh,5,20,1991.0192307692
Bangladesh,5,21,2099.0192307692
Bangladesh,5,22,2199.1730769231
Bangladesh,5,23,2228.9038461538
Bangladesh,6,0,2081.5192307692
Bangladesh,6,1,1755.8653846154
Bangladesh,6,2,1291.25
Bangladesh,6,3,900.0961538462
Bangladesh,6,4,643
Bangladesh,6,5,517.0961538462
Bangladesh,6,6,544.3076923077
Bangladesh,6,7,705.2884615385
Bangladesh,6,8,961.0769230769
Bangladesh,6,9,1381.3846153846
Bangladesh,6,10,1721.6153846154
Bangladesh,6,11,1966.7884615385
Bangladesh,6,12,2061.75
Bangladesh,6,13,1944.4423076923
Bangladesh,6,14,1881.1538461538
Bangladesh,6,15,1941.4807692308
Bangladesh,6,16,1949.9230769231
Bangladesh,6,17,1866.5384615385
Bangladesh,6,18,1798.8269230769
Bangladesh,6,19,1879.2692307692
Bangladesh,6,20,1963.8653846154
Bangladesh,6,21,2081.5192307692
Bangladesh,6,22,2171.8846153846
Bangladesh,6,23,2206.25
Belarus,0,0,47.8461538462
Belarus,0,1,38.0769230769
Belarus,0,2,31.4807692308
Belarus,0,3,22.4423076923
Belarus,0,4,17.9807692308
Belarus,0,5,15.1538461538
Belarus,0,6,14.4615384615
Belarus,0,7,15.7692307692
Belarus,0,8,20.5576923077
Belarus,0,9,30.8076923077
Belarus,0,10,45.1923076923
